"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","BP","GO:0007409","axonogenesis","47/934","459/18986",0.10239651416122,2.08147774932005,5.33503726120118,1.68704531941863e-06,0.00855669386009129,0.00821857446133623,"SEMA3F/ISL1/EPHA3/NTN1/EPHA8/MT3/NEFH/MCF2/SPG11/NEFL/NUMBL/MEGF8/RAB3A/DLX5/EVX1/LHX2/VAX2/MAP2K2/LLGL1/EPHA7/PLXNC1/TUBB2B/ADCY10/SEMA6C/GFRA3/NTRK2/CNTN5/DPYSL5/SPTBN4/CHRNB2/NKX6-1/GBX1/SLITRK5/OTX2/GDNF/SHOX2/RAC3/CDK5R2/DSCAM/FOXB1/BRSK2/FOXG1/ULK1/CDH4/NRXN1/POU3F2/WNT7B",47
"GO:0099550","BP","GO:0099550","trans-synaptic signaling, modulating synaptic transmission","7/934","16/18986",0.4375,8.89333511777302,7.18460578793642,5.27547333051077e-06,0.0105303454008921,0.0101142367830252,"CBLN4/SYT4/CBLN2/NTRK2/SLITRK5/GRM5/CNR2",7
"GO:0032543","BP","GO:0032543","mitochondrial translation","20/934","131/18986",0.152671755725191,3.10345391241807,5.49504757443283,6.22851660147403e-06,0.0105303454008921,0.0101142367830252,"MRPS34/MRPS18A/CDK5RAP1/SARS2/MRPL4/MRPL2/AARS2/MRPS7/MRPS26/MRPS12/MRPS9/UQCC2/MALSU1/MRPL10/MRPL36/MRPL11/TUFM/GADD45GIP1/MRPS21/MRPL12",20
"GO:0097091","BP","GO:0097091","synaptic vesicle clustering","7/934","17/18986",0.411764705882353,8.37019775790402,6.91508399830137,8.58737926457193e-06,0.0108887969074772,0.0104585240095892,"RAB3A/SYN2/CTBP1/BSN/BRSK2/NRXN1/SYN3",7
"GO:0051960","BP","GO:0051960","regulation of nervous system development","45/934","463/18986",0.0971922246220302,1.97568691292705,4.83460935785387,1.08840445453641e-05,0.0110407747868173,0.0106044964538832,"SEMA3F/NTN1/BRINP1/MT3/DLL3/MCF2/NEFL/NUMBL/MEGF8/PTN/LHX2/NEURL1/MDK/DBN1/OBSL1/MAP2K2/NSUN5/SYT4/EPHA7/PLXNC1/IL6/ASCL1/CBLN2/ADCY10/SEMA6C/DLX1/HES6/NTRK2/DPYSL5/NKX6-1/PTPN13/GBX1/SLITRK5/ZNF488/HOOK3/SHOX2/GRM5/DSCAM/CYSLTR1/LINGO2/FOXG1/ULK1/CDH4/NRXN1/DLL1",45
"GO:0021510","BP","GO:0021510","spinal cord development","16/934","100/18986",0.16,3.25241970021413,5.13683245563857,2.85709858509158e-05,0.0239853064230325,0.0230375224401864,"ISL1/DMRT3/LHX5/NEFL/ERCC2/HOXB8/HOXD10/ASCL1/MDGA2/ZIC1/GBX1/CD320/GDNF/FOXB1/SOX12/DLL1",16
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","38/934","383/18986",0.0992167101827676,2.01683989243043,4.57274039730675,3.31027494008729e-05,0.0239853064230325,0.0230375224401864,"SEMA3F/NTN1/BRINP1/MT3/DLL3/MCF2/NEFL/NUMBL/MEGF8/PTN/LHX2/NEURL1/MDK/DBN1/OBSL1/MAP2K2/SYT4/EPHA7/PLXNC1/IL6/ASCL1/ADCY10/SEMA6C/DLX1/HES6/NTRK2/DPYSL5/NKX6-1/ZNF488/HOOK3/SHOX2/GRM5/DSCAM/CYSLTR1/FOXG1/ULK1/CDH4/DLL1",38
"GO:0045109","BP","GO:0045109","intermediate filament organization","13/934","73/18986",0.178082191780822,3.61998768003285,5.10148418157434,5.03863311318571e-05,0.0319449339375974,0.0306826237471361,"NEFH/NEFL/INA/KRT24/KRT75/KRT6C/KRT19/KRT13/KRT20/KRT10/KRT16/KRT14/KRT77",13
"GO:0140053","BP","GO:0140053","mitochondrial gene expression","21/934","169/18986",0.124260355029586,2.52591766658642,4.53226544320615,8.79240779284093e-05,0.0495501025836547,0.047592120778091,"HSD17B10/MRPS34/MRPS18A/CDK5RAP1/SARS2/MRPL4/MRPL2/AARS2/MRPS7/MRPS26/MRPS12/MRPS9/UQCC2/MALSU1/MRPL10/MRPL36/MRPL11/TUFM/GADD45GIP1/MRPS21/MRPL12",21
"GO:1901292","BP","GO:1901292","nucleoside phosphate catabolic process","22/934","184/18986",0.119565217391304,2.43047667814915,4.43510335904169,0.000107425416307476,0.0544861711511517,0.0523331396495787,"UPP2/NTHL1/PDE8A/ACOT7/GSK3A/LIPA/GIT1/ENO3/VNN1/NUDT10/NT5C/ITPA/ENTPD1/PFKL/DPYS/NUDT8/DDIT4/PDE4B/ENTPD4/OGDHL/NT5M/EIF6",22
"GO:0048168","BP","GO:0048168","regulation of neuronal synaptic plasticity","11/934","60/18986",0.183333333333333,3.72673090649536,4.81176672445076,0.000143987357506594,0.0663912615703132,0.0637677981378486,"RAB3A/NEURL1/DBN1/VGF/SYT4/JPH3/GRIN2C/GRM5/HRAS/PPFIA3/GRIN2A",11
"GO:0007411","BP","GO:0007411","axon guidance","25/934","236/18986",0.10593220338983,2.15334990745109,4.05538907621014,0.00026298053796572,0.0866682552642646,0.0832435425375678,"SEMA3F/ISL1/EPHA3/NTN1/EPHA8/MEGF8/DLX5/EVX1/LHX2/EPHA7/TUBB2B/SEMA6C/GFRA3/CNTN5/DPYSL5/GBX1/OTX2/GDNF/RAC3/CDK5R2/DSCAM/FOXG1/CDH4/NRXN1/WNT7B",25
"GO:0048663","BP","GO:0048663","neuron fate commitment","12/934","75/18986",0.16,3.25241970021413,4.44568592661537,0.000279105171360072,0.0866682552642646,0.0832435425375678,"ISL1/DMRT3/HOXD10/ASCL1/DLX1/IHH/GBX1/FOXG1/POU3F2/MYT1L/DLL1/EHMT2",12
"GO:0097485","BP","GO:0097485","neuron projection guidance","25/934","237/18986",0.105485232067511,2.14426404286269,4.03206426847518,0.000280612032189859,0.0866682552642646,0.0832435425375678,"SEMA3F/ISL1/EPHA3/NTN1/EPHA8/MEGF8/DLX5/EVX1/LHX2/EPHA7/TUBB2B/SEMA6C/GFRA3/CNTN5/DPYSL5/GBX1/OTX2/GDNF/RAC3/CDK5R2/DSCAM/FOXG1/CDH4/NRXN1/WNT7B",25
"GO:0048665","BP","GO:0048665","neuron fate specification","8/934","36/18986",0.222222222222222,4.51724958363074,4.80469591280266,0.000294257068942228,0.0866682552642646,0.0832435425375678,"ISL1/DMRT3/HOXD10/ASCL1/POU3F2/MYT1L/DLL1/EHMT2",8
